Comment,Image No.
"Belle luminosit et excellente composition!  !! High Quality Image    Qualified Members Only","6"
"Bello scatto! Complimenti. ","6"
" !! High Quality Image    Qualified Members Only  For a quick survey of my work click here: RuudMorijn   You're welcome.","6"
" Esta bellsima imagen fue vista en:   Ole tus fotos","6"
"great HDR, congratulations!","6"
"amazing colors...!!","6"
"Superb PP work and, refreshingly, not overdone","6"
"www.ambrosianapictures.it From Milan Italy  ITA -   Bello Scatto, Complimenti !  ENG -   Very Nice Shot ! FRA -   La Photo est trs belle ! GER -   Das Foto ist Sehr Schn ! ESP -   La Foto es Muy Bonita ! .","6"
"incrivel! tenho um quadro muito parecido..","7"
"beautiful shot!","7"
"Wonderful shot!! Love the words too","7"
"This is a really great shot! I love the sixe of the trees and my eye is automatically drawn down the road.","7"
"Cool shot!","7"
"linda foto","7"
"by you I could  discover and hear on youtube Dave Koz, wonderful smooth jazz... a very good text...where will the road lead...(super photo)!!!","7"
"Thanks Nadia!","7"
"super and nice shot! ","7"
"...","8"
"Das wr jetzt schn","8"
"Have a wonderful weekend!!!  ______WELCOME_______   Thank for the sharing Thanks for accept the invite! It is a pleasure to have you in our group.  ___CONGRATULATION___   ___Thanks for sharing___","8"
"Wonderful place for a quiet walk!","8"
"very nice","8"
"Incredibly beautiful! Have a great weekend my friend!","8"
"Beautiful image and interesting composition!","8"
"Wunderschoene Aufnahme, Licht und Perspektive! Wuensche dir ein wundervolles Wochenende :-)","8"
"Fantastisch schner Blick  und eine tolle Allee ... die Variation an Grntnen ist  einfach wundervoll... fantastischer Blick und klasse Perspektive!","8"
"Superb.","8"
"Eine herrliche Allee meisterlich fotografiert! Gratuliere.","8"
"wonderful green!","8"
"Majesttisch stehen sie Spalier diese Baumriesen - eine wahre Augenweide...:-) Eine brenstarke Aufnahme !","8"
"Great composition","8"
"lovely tones, light  inviting pathway comp!!!","8"
"Wonderful place to walk, beautiful green","8"
"Absolutely gorgeous shot...","8"
"Wonderful capture, colors and lighting.","8"
"very beautiful...the lighting is amazing.","8"
"Eine tolle Szene und ein klasse Bild mein Freund! Schne Farben und ein super Licht!  Ich wnsche dir noch einen schnen Sonntag, liebe Gre Gerald :-)","8"
"Herrliche Stimmung, perfekt komponiert!","8"
"Klasse Stimmung - Natur pur ! Wer weiss wie lange die Bume noch stehen, ich denke hier an das Grundwassermanagement Bahn - Stuttgart 21 !!","8"
"Excellent shot and a great vanishing point.  Have a great day and keep smiling.","8"
"Wonderful scene","8"
"very nice!","8"
"Beautiful avenue of trees ....wonderful perspective and light ....great shot !","8"
"Such an impressive  beautiful alley!!!! It must feel magical to take a walk there!  Thanks for sharing this  peaceful view Habub!! !","8"
"Wonderful capture, well done.","8"
"Herrlich. Bume gro und mchtig. Wie in den Mrchen aus vergangenen Zeiten.","8"
"Amazing","8"
"Wonderful image, great perspective!","8"
"Absolutly amazing place to walk !","8"
"Eine herrliche Allee - klasse aufgenommen!","8"
"A gorgeous avenue of trees!","8"
"Fantastic image.","8"
"Wonderful green alley, great framing.","8"
"Schade. Ich war 3 Jahre in Stuttgart gelebt and hatte nie diese Ort besucht!   Awesome picture.","8"
"Beautiful composition and and a extension sense !!     Have A Nice Week... My Dear friend   :  )","8"
"beautiful...","8"
"That must be a wonderful park!","8"
"beautiful!","8"
"I felt as if gentle autumn breeze is coming from leaves. Those small figures of children makes this beautiful image more and more attractive. Thank you very much for sharing.","8"
"Eine fantastische Allee. Sehr schnes Licht. Tolles Foto.","8"
"This is a Big Fave !!!  ","8"
"Splendid shot.","8"
"Wow... Love those lights and colors there..... What a nice point of view....","8"
" I saw this in the 50+ Faves group and Faved it.","8"
"Wonderful shot!! and very nice place!! Congrats!!  ","8"
"so schn...!!:-))","8"
"This is a Big Fave !!!  ","8"
"lovely sense of light~","8"
"What an awesome shot! Superbly composed and captured!","8"
"I like so much!!","8"
"Schnes Pltzchen!","8"
"This is a Big Fave !!!  ","8"
"Gorgeous!","8"
" Superb shot ! Excellent frame and light !","8"
"Excellent shot.. beautiful perspective!  Happy a good day, my friend..","8"
"Excelente composicin y punto de vista, la representacin del color y la luz son muy buenos.","8"
"I like the  colors and light you captured. Memorable composition! Wow!","8"
"wooow, fantastic!!","8"
"schnes Foto!","8"
"Platanen, bei denen mag ich die Rinde, die sehr unterschiedlich gefrbt ist und eine  ausgeprgte Musterung aufweist...  Klasse Aufnahme einer Platanenallee! Findet man bei uns leider selten!","8"
"impresionante de bonita   ","8"
"Terrific image of a wonderful scene. The trees are magnificent and the light is terrific.","8"
"Beautiful colors, great prospetico effect, excellentwork  colori stupendi, grande effetto prospetico, ottimo  lavoro","8"
"Its again your fantastic one. Your Green way is... No way... Chance less... Superb click.","8"
"Like a french","8"
" _invite_  Flickr Hive Mind Group    View your photo stream. (?)","8"
"See in:  ","8"
"fantastic","8"
"See in:   ","8"
"Great composition, love the tone and people at central.","8"
"lovely shot!","8"
"wow those trees are huge! great shot :)","8"
"Flickr Rank - month September year 2012 - group  Alberi d'alto fusto, Boschi e Foreste /  Trees, Woods and Forest -  903 members #1 - Plane Avenue in the Castle Park by  Habub3  #2 - Sunset at Gibraltar Farm, Silverdale.  Morecambe Bay beyond by Radarsmum67  #3 - La prima nebbia by Gianni Armano   #4 - Roteiro AQA I por TeresalaLoba ","8"
"bellissima la maestosit degli alberi.","8"
"I like its.","8"
"Great view. I like the way you centered it and the people in the distance !","8"
"Beautiful landscape!","8"
"superschnes Foto!!! Ich mchte am liebsten da gleich reinspringen","8"
"Simply beautiful.","8"
"excellent work my friend!! lovely places! congrats","8"
"Flickr Rank - year 2012  - group Alberi d'alto fusto, Boschi e Foreste / Trees, Woods and Forest  - 982 members   ","8"
"!!!!!","8"
"Maravilhoso este lugar!","8"
"Beautiful path with neat patterns of trees! Fantastic!","8"
"See in:  ","8"
"Excellent and beautifully done! Keep up the good work :-)","8"
"Very nice","8"
"Uno splendido scorcio con una magnifica prospettiva e una luce meravigliosa","8"
"...","9"
"Cool and green pathway looks inviting!","9"
"excellent lighting and perspective","9"
"Very beautiful work!","9"
"Wunderbare Aufnahme, Licht und Perspektive! Wuensche dir einen wundervollen Sontag und neue Woche. Liebe Gruesse, Edith :-)","9"
"traumhaft schn!","9"
"wundervolle arbeit und perspektive. servus!","9"
"Magnificent perspective my friend!","9"
"Very nice shot.","9"
"So gorgeous!  I feel like I'm there.  Fantastic perspective!","9"
"Wonderful image","9"
"Nice work!","9"
"wonderful light, shadows  inviting pathway image","9"
"Sehr schn!","9"
"Awesome capture, composition and lighting.","9"
"wonderful view!","9"
"Great perspective!    ~New Envy of Flickr!~   Please add your photo to the ~New Envy of Flickr!~ ","9"
"Was fuer eine herrliche Allee!  LG","9"
"Makes me happy!","9"
"Quadri beautiful","9"
"a beautiful image fantastic work!   I came across this in Superosity  - superosity -","9"
"Fantastic photo !","9"
" Thank you for sharing    A Beautiful ~ Moment","9"
"Excellent work.","9"
"Wonderful light and perspective ...a very beautiful image !","9"
"Wonderful shot..!Enjoy your day, my friend!","9"
"Very beautiful, nice composition.","9"
" excellent frame of those ageless trees; lovely work.","9"
"wowniceview","9"
"Wunderschn !!!!!!!!!!!!!!!!!!!!!!!!!!!!! Grossartige Aufnahme und schne Komposition !  Wnsche Dir eine gute Woche !","9"
"Spitzen-Foto. Groartiger Bildaufbau mit toller Tiefenwirkung.","9"
"Gefllt mir.","9"
"Beautiful!","9"
"wonderful!","9"
"Wow, what a photo!   The scene you captured is something special. I LOVE it!","9"
"Excellent work@  :))","9"
" I saw this in the 25+ Faves group and Faved it.","9"
"Superb photo.  Beautiful spot to ride.  The light was excellent.","9"
"Very beautiful!","9"
"Eine tolle Allee klasse prsentiert und ein super Bild mit einem klasse Licht!  Wnsche dir ein schnes Wochenende :-)","9"
"Wie lange noch? ;-)  Wundervolle Allee! Ich mag Platanen ganz besonders..... ich denke bei ihrem Anblick an meine zahlreichen Frankreich-Reisen!","9"
"Fantastic perspective!","9"
"this is extremely Good:) Congratulations! from  * Beautiful Shot   ","9"
" Flickr Hearts - Post 1 - Give 5 Flickr Hearts ","9"
" Flickr Hearts - Post 1 - Give 5 Flickr Hearts ","9"
"Super shot.","9"
" Flickr Hearts - Post 1 - Give 5 Flickr Hearts ","9"
"--  Flickr Hearts - Post 1 - Give 5 Flickr Hearts  --  ( ? )","9"
" Flickr Hearts - Post 1 - Give 5 Flickr Hearts ","9"
"This brilliant photo is like a shooting star, totally inspiring!   SHININGSTAR - Post 1- Invite 1- Give 5 Stars Thanks for brightening my day, shine on!  ","9"
"artistic path and shot...","9"
"wonderful perspective. Beyond the words","9"
"Parabns... bela foto Avanil/Brazil","9"
"Lovely HDR shot","9"
" I saw this in the 50+ Faves group and Faved it.","9"
"amazing!","9"
"Auch dieses hier ist sehr schn, Stimmung und Farbtne... einmalig!","9"
" _invite_  Flickr Hive Mind Group  ()  FOLLOW. (?)","9"
" I saw this in the 25+ Faves group and Faved it.","9"
"gorgeous composition!!","9"
"Fantastic tunnel of trees.","9"
" ","9"
"Eine herrliche Allee und ein wunderbares Licht - beides sehr gut ins Bild gesetzt!","9"
"Bonita toma....","9"
"`,./?,`  \' \'","9"
"Very nice photo with good colors","9"
"Great composition","9"
"Amazing!","9"
"Wunderschoen. Ein Gefuehl, als ob du dich in einem Maerchen befindest","9"
"Excellent job.","9"
"looks like paradise","9"
"Klasse Bildgestaltung und Bearbeitung. Die Textur der Baumstmme gefllt mir ganz besonders.","9"
"It looks very calm and peaceful, lovely shot!","9"
"Wonderful!","9"
"Eine klasse Aufnahme mein Freund .w","9"
"Amazing!! I love this picture, it's wonderful!!! Have a great weekend! :)","9"
"Loving it!","9"
"Love the processing the tree trunk detail is outstanding, wonderfully  composed, a strikingly gorgeous image.","9"
"Real good shot and work. Best wishes for 2015.","10"
"Thank you Cees. Same to you.","10"
"Like the lighting - very subtlr","10"
"Or even subtle!","10"
"excellent","11"
"E dura la salita !!!!!!!!!!!!!","11"
"Hermoso","11"
"excellent ...","11"
"Good!!!","11"
"Great capture :)))","11"
"c'est pas gagn..... !! lol ;)","11"
"Buena composicin y acertado el formato cuadrado","11"
"really captures a different feel...","11"
"amazing work, have a nice weekend","11"
"Great shot","11"
"Belle prise","11"
"-- ...e x q u i s i t e a c h i e v e m e n t ! Admired in","11"
"Great Artificial Nature ","11"
"--  From Art and Photography group:      ...e x q u i s i t e a c h i e v e m e n t !  THANK YOU FOR POSTING IT.","11"
"Bravo... ;-)","11"
" ","11"
"","11"
"","11"
"","11"
"","11"
"Admiration and many feelings aroused my curiosity when contemplating this great work full of art and very well captured in all its glory; great framing, composition, light and color that speaks of a work thoroughly and worth admiring. Thank you very much for the comments received, greetings and hugs from Palma de Mallorca, Jos Luis. LIMA 58 .","11"
"Grazie per aver condiviso questo scatto con noi fotografi per caso   fotografi per caso P1-C1","11"
"","11"
"  Gracias por publicar tu foto en CAZADORES DE IMGENES ","11"
"Great scene!","11"
"","11"
"Fantastica Bernard!!!","11"
"Very nice image!  May the New Year fill your days with all that is wonderful and bright  here's wishing you a fabulous 2015.","11"
"Great photo!","11"
"well framed and strange casting lights....","11"
"","11"
"","11"
"Wonderful Autumnal image! Great perspective!","12"
"Dit ken ik op mn duimpje.....mooi!!!","12"
"Sfeervol herfstbeeld , Mieneke !","12"
"trs joli !","12"
"Een heel mooie herfstfoto!  Gezien in De Doka","12"
"","12"
"En ik ben daar nog nooit geweest :-) Mooie herfst kleuren, prachtige foto Mieneke","12"
"Prachtige foto, ik krijg meteen last van heimwee!","12"
"Prachtige kleuren en fraaie diepte, Mieneke!!","12"
"Sfeervolle herfstopname, mooie kleuren!","12"
"Prachtig die kleuren Mieneke, een mooie herfstplaat en ook nog lekker in de stad. Fijne avond nog","12"
"mooie herfstfoto!","12"
"Mooie compositie !!","12"
"pracht kleuren! mooi gedaan","12"
"Ahh beautiful autumn scene, Mieneke! We are already switched in to a winter mode :-) Enjoy your autumn days while you can!","12"
"A truely beautiful place to live.","12"
"If there were a bench, I could sit here all afternoon!!!!  Beautiful!","12"
"Mooi die herfstkleuren!","12"
"De bomen strooien met goud... Mooi!","12"
"Gezien en bewonderd in:   Amateurs Belgi en Nederland.","12"
"Herkenbare plek, liet daar regelmatig mijn honden lopen","12"
"lovely view from here too  wish u a lovely weekend  Mieneke","12"
"Mooi perspectief Mieneke.","12"
"Gorgeous colours!!!:)","12"
"Prachtige herfsttinten en een heel mooie compositie!","12"
"  Gezien  Bewonderd in Beautiful Groningen ","12"
"excellent ,,,,my favorite ,,,,,well done","12"
"beautifully framed autumn, Mieneke!","12"
"Prachtige herfstkleuren !      Gezien  Bewonderd in Beautiful Groningen ","12"
"Such a spectacular autumn scene!","12"
"Lovely image !!!","12"
"Beautiful buildings, great autumn colours!","12"
"Beautiful autumn scene......Nice photography!","12"
"Stunning Autumn colors...","12"
"Happy New Year dear Flickr friends !  Sending wishes from Maine for health and happiness in  2015 !  Fantastic ! Amazing , really nice ...  Wonderful and beautiful !!!  Very beautiful  Very nice  Beautiful Angel Heart ! my dear ...  I have the greatest respect for you !!! compliments for this very nice capture, good shot !!","12"
"Een heel bekende plek voor mij...prachtig de herfstkleuren weer gegeven!","12"
"What a lovely scene !","12"
"Fantastic photographic work,  thanks for sharing it with us  Have a nice day!","13"
"Fantastic!!","14"
"Very nice. I love Park Street.","14"
"great - really great","14"
"Superb shot, love the wide angle!","14"
"Cool shot, love the fog too!!","14"
"Yesterdays Venetian watery wonderland  ","15"
"That is a beautiful piece of work, Jim and not as easy to do as you make it sound.  It came out splendidly.  That tree is amazing.  I don't have any green space right now so I have to keep creating some.:)  Know what the best part of this post is?  I can actually hear your voice reading it in my head.:) x","15"
"","15"
"A very lovely reverse oasis maybe, given all the water flowing through the city recently? the hypotenuse of a triangle of visual tranquility - wish I had thought of that!!","15"
"Climb up and lose myself in my thoughts : ))","15"
"Those are fabulous looking trees!  Thanks for sharing :)","15"
"Lovely shot Jim, love the old trees and the detail just fabulous :) This is really WOW   Congratulations!!!","15"
"Beautiful trees and processing. There are so few places like this left in SoCal.","15"
"Love this.. those trees are amazing","15"
"Great work Jim, I would never have know this was 2 shots! Was this area flooded also?","15"
"Just read your comment... NO NO!!! Don't try to upstage my globe... I'm already getting trounced by Charlie Is Here!!! :-0","15"
"Oh, what the heck... Bring it on!!!","15"
"An excellent job of stitching Jim.  Superb work and a lovely peaceful looking scene, in fact amazing for a city.","15"
"Great work stitching the two photos. That tree is very impressive. A worthy subject.","15"
"A very familiar scene.....I love how you've captured it.","15"
"Nicely done.  Looks seamless.  I know it is very hard to deal with the light shadow contrast in this kind of scene.  But it's rather balanced in your photo.  There is a hugh magnolia in Balboa Park in SD, which I contemplated taking a photo, but then thought to myself that I don't have a big enough camera. :)","15"
"Wonderful words to describe this very interesting image of a lovely place.Those fig trees look HUGE.","15"
"Nice that your city has saved many of its larger and older trees ... a tribute to your city!! Bravo!!","15"
"A nice panorama shot Jim....sadly most of the cities here in the U.S  have little space devoted to parks. I think it's a question of money.  Parks don't pay taxes.............everyone else does.","15"
"Wonderful trees and great stitching!","15"
"I wouldn[t say it's two shots ... marvelous oasis !","15"
"Its so important to leave green space but alas, but many developers do not take this into account. Of course the price of city centre land has probably something to do with this! This looks a wonderful place in the middle of your city Jim.","15"
"lovely capture Ann ,,,,","16"
"","17"
"","17"
"","17"
"    ","17"
",","17"
"lovely winter scene","17"
"Oooooo wat een killer Roy fantastisch man!!!!!!!!!!","17"
"Enchanting scene.","17"
"Magnifique vue .","17"
"Gaaf!!     Gezien  Bewonderd in Beautiful Groningen ","17"
" Excelente, Vista En: * Dame 5 Premios * Post 1  Comment on the 5 next to yours.","17"
" Excelente, Vista En: * Dame 5 Premios * Post 1  Comment on the 5 next to yours.","17"
" INVITE LEVEL 1 BRONZE - Congratulations   Remember That Moment Level 1 Bronze","17"
" INVITE LEVEL 2 SILVER - Congratulations   Remember That Moment Level 2 Silver","17"
"Gezien in de groep Winter in Nederland en Vlaanderen  ","17"
"beautiful","17"
"Nice dynamic range","18"
"Yeah the light was amazing, this totally captures it.","18"
"Nicely Done","19"
"I like it Darek, so clear and white. Well done!","19"
"Belle prise de vue de toute beaut....MERCI pour le partage. BRAVO... j'aime beaucoup, merci de la joindre  notre groupe photos pour Tous   Great photography I love, thank you for joining our group pictures for All   Please add this beautiful photo to PHOTOS pour TOUS - PHOTOS for ALL.  Merci d'ajouter cette MERVEILLEUSE photo sur PHOTOS pour TOUS - PHOTOS for ALL.     PHOTOS pour TOUS - PHOTOS for ALL  ","19"
"on ice !!!","19"
"It's really nice!!! Great capture of the life in bw!!","19"
"Great shoot, congratulations :)","19"
"Bella:-)","19"
"Very elegant","19"
"great work!","19"
"Superbe BW  !","19"
"Looks great in high contrast!","19"
"--  From Art and Photography group:      ...e x q u i s i t e a c h i e v e m e n t !  THANK YOU FOR POSTING IT.","19"
"This is a good picture. It's a good one. A tree growth.","19"
"Admired in      A l'Est d'Eden Please don't forget P1/C2!","19"
" I found this in The Quad!","19"
"Splendid work.","19"
"Nice shot!","19"
"See in:   ","19"
"Excelente trabajo!!   Solo se admitirn fotos con 100 Favoritas o mas Photos only be accepted with 100 or more favorites","19"
"Excelente trabajo!!   Solo se admitirn fotos con 100 Favoritas o mas Photos only be accepted with 100 or more favorites","19"
"lubi tego typu grafiki! :)","19"
"*I admired your wonderful photo*      ********** in the group **********   ***.***CES PETITS RIEN ...***.***   White-fancybar1","19"
"Very nice. Excellent work! Congrats.","19"
" Admired around the world in the:  *******WorldPhotography*******    *******WorldPhotography*******  **one of the beautiful groups**","19"
"Beautiful image, great capture.","20"
"Thanks for sharing!   R - for Round world [+ StreetScenes] Post 1 - Comment 2","20"
"Beautiful and peaceful place!","20"
"Superb shot.","20"
"Copacabana is a borough located in the southern zone of the city Rio de Janeiro, known for its 4 km beach which is one of the most famous in the world. Copacabana has one of the most beautiful and famous beaches in the world, half-moon stretching over 4.5 km, from Leme until Arpoador. It is known princesinha do Mar (Little Princess of the Sea). Copacabana is one of the emblems of Brazil tourist as the Mount Corcovado or Sugar Loaf.  Copacabana beach is the most famous of the world, one where Rio emancipated.  In the middle is the oldest luxury hotel in South America, the Copacabana Palace, built to plans of a French architect. On Christmas Eve of New Year's Eve, a huge firework fired at two million people gathered and dressed in white. As is tradition, at midnight, flowers are thrown into the sea in 2006, the Rolling Stones gave a memorable concert in front of 1.7 million people.  Cludio Lara  All rights reserved Proibida reproduo sem autorizao, com ou sem interesse comercial. Todas as fotos esto sob a Lei do Direito Autoral N 9.610, de 19 de Fevereiro De 1998.     fotos de Copacabana sejam elas de dia ou a noite sempre um show de beleza     Fotos do metr de Copacabana. So trs estaes do metropolitano do Rio de Janeiro neste bairro que representa o DNA do Brasil. Servido tambm por inmeras linhas de nibus e uma gigantesca frota de txis para transportar o trbalhador, o tursta, os moradores que aproveitam a praia ou os bomios da madrugada. Copacabana nunca pra.      Fotos de Copacabana - Praia de Copacabana e Calado de Copacabana","21"
"Primeira, segunda ou terceira idade, caminhar no calado ou praticar esporte  sempre uma boa pedida. Basta olhar os idosos praticando Tai Chi Chuan na praia de Copacabana ou na Praia de Ipanema pra entender bem.  ","21"
"A menininha na bicicleta deu o charme. Gostei da disposio dos coqueiros tambm!  Abrao!","21"
"Engraado, ontem passei por toda copa, mas acabei ficando ali em ipanema mesmo. Acho que j no consigo mais ver todo o charma de copa... e ipa vem me parecendo mais tranquila.  linda foto!  abrao!","21"
"Nada como uma luz de inverno, pra contrastar esse azul lindo... bela composio!  abs","21"
"Magnfica ! Abs !","21"
"Luiz, Gosto muito tambm destes coqueiros e por isso sempre fotografei eles juntos com o Calado de Copacabana que no Google ocupa a primeira posio na primeira pgina. :)  ","21"
"Excellent capture.  Nicely done.","21"
"Ainda bem n!!!....Salve Alemanha!!!  Abraos!","21"
"Magnifica vista y excelente colleccion de imagenes. Una gran guia para cualquier visita :)","21"
"Very nice shot,like it.","21"
"Saudade  d a terra. Abracao...","21"
"Que magnifica foto !!","21"
"Rio is really a great city and thanks for your lovely images !!","21"
"Nice beach/place,  excellent capture!","21"
":)","21"
"Que foto boa de se ver, e ainda escutar Marisa Monte!!! Bom d+++","21"
"Great shot, I love its brightness","21"
"Fantastic image!!!","21"
"Buenissima foto de resultado inmejorable!!  Saludos Claudio!!","21"
"um sonho.... uma maravilha...  amazing photos!!!","21"
"Que sol e que cu! Adorei! No conheo nenhuma dessas rvores que voc falou...vou procurar alguma foto! tima sexta-feira pra voc! Beijo!","21"
"so alegria... belo lugar mesmo...","21"
"Voc sabe que j te imagino  em 2014/2016 trazendo para ns aquelas maravilhas de fotos das competies........","21"
"Qual Rio de Janeiro voc prefere?                   O Rio de Janeiro dos parques, jardins e Floretas: Jardim Botnico, Praa Paris, Quinta da Boa Vista, Parque Lage, Bosque da Barra, Floresta da Tijuca. ...                    Rio de Janeiro de praias para todos os gostos, para os sarados na Barraca do PeP e Ipanema, da popular praia de Copacabana, da calma Reserva, do Agitado poste 9, da ecltica Praia Vermelha,...                    Rio de Janeiro urbano do trabalho, dos grandes negcios e sede de seis das dez maiores empresas do Brasil: Petrobrs Vale, Oi-Telemar, BR-Distribuidora, Esso, Shell,...                   Rio de Janeiro da Capital Cultural do Brasil com sua moda, culinria e dos grandes museus, bibliotecas, dos centros culturais e galerias: Museu Nacional, CCBB, Real Gabinete, Centro Cultural da Justia, Museu Histrico Nacional e at de museus da Aeronutica com dezenas e avies, Centro Cultural da Marinha com Navio e submarino museu e tantos outros que  impossvel enumerar.                   Rio de Janeiro dos grandes eventos: Do Pan Rio 2007, da Volvo Ocean Race, RedBull Air race, do Mundial Militar, do Maior Espetculo da Terra com seu Carnaval, da rvore de Natal da Lagoa, Rveillon de Copacabana, da Copa do Mundo de 2014 e da futura Olimpada Rio 2016.  Qualquer que seja sua escolha do tipo de cidade que voc gosta mais, o Rio de Janeiro tem pra oferecer, porque aqui temos tudo que as outras cidade tm e tudo que elas gostariam de ter.","21"
"Excelentes registos e composio!!!!!!","21"
"Muy buena toma excelente saludos","21"
"Great view!!! Wonderful sky!! Beautiful colours!! Well done....;)","21"
"lindimaisssssssssss","21"
"Lindos azuis!","21"
"nice shot of the beautiful Copacabana beach!!","21"
"Coqueiros, conqueiros, lindos!","21"
"Maravilhosa! Um otimo sabado! bjs","21"
"Praia belissima!","21"
"very nice place!","21"
"umhh!!! bateu um gostinho de saudade .... perfeita captura!!!! salve Rio!!! ^+^","21"
"Excellent.","21"
"Precioso escenario y testura!!!!!!!!","21"
"Marvelous ! Happy friendship day !","21"
":)","21"
"Linda foto lindo o Rio de Janeiro","21"
"Fala Claudio, como vai?   Essa sua foto de Copa, est perfeita. O calado, as palmeiras, a bicicleta, a rede de voley (ao fundo). Todos os ingredientes de Copa.  Abs, meu ammigo.","21"
"Oh maravilhosa","21"
"Belo e belo!","21"
"Stunning!","21"
"Beautiful place and love the colours, Claudio, well done!","21"
"Linda foto,meu caro... Estavas sumido destas bandas...","21"
"Foto com cara de vero. Que saudade do sol.","21"
"Impecvel, valorizando ainda mais nosso Rio!","21"
"mui Lindo !!!","21"
"Eu sinto saudades do Rio.. Oh cidade maravilhosaa..!","21"
"Que cenrio maravilhoso !!! Linda foto !","21"
" Excelente, Vista En: * Dame 5 Premios * Post 1  Comment on the 5 next to yours.","21"
" Excelente, Vista En: * Dame 5 Premios * Post 1  Comment on the 5 next to yours.","21"
"  A+++ Grade Photo(Post 1 give A+++ logo to 3 pics)","21"
"  A+++ Grade Photo(Post 1 give A+++ logo to 3 pics)","21"
"  You've been Dazzled","21"
"  You've been Dazzled","21"
" A+++ Grade Photo(Post 1 give A+++ logo to 3 pics)","21"
"  A+++ Grade Photo(Post 1 give A+++ logo to 3 pics)","21"
"Flickrs Special- Post 1 - Give 5 stars","21"
"this is extremely Good:)  Congratulations! from  * Beautiful Shot   ","21"
"this is extremely Good:)  Congratulations! from  * Beautiful Shot   ","21"
" This photo definitely deserves a Bronze Trophy!       FLICKR BRONZE TROPHY GROUP  Post 1 comment 5","21"
"this is extremely Good:)  Congratulations! from  * Beautiful Shot    ","21"
" vu dans FLICKR toiles group  .    commented with FlickrComment","21"
"buena composicion..","21"
"Flickrs Heaven- Post 1 - Give 5 angels","21"
"Great shot!   Ultimate GOLD (Post 1 - Give 5 Gold Stars) ","21"
" !! High Quality Image    Qualified Members Only","21"
" This photo definitely deserves a Bronze Trophy!       FLICKR BRONZE TROPHY GROUP Post 1 comment 5","21"
" This photo definitely deserves a Bronze Trophy!       FLICKR BRONZE TROPHY GROUP  Post 1 comment 5","21"
" !! High Quality Image    Qualified Members Only","21"
" Digitale e analogico !","21"
" !!? High Quality Image ?   Qualified Members Only","21"
